cik,sic,sic_description,company_name,ticker
0001018399,6022,STATE COMMERCIAL BANKS,ENTERPRISE BANCORP INC /MA/,EBTC
0001019650,6021,NATIONAL COMMERCIAL BANKS,CENTRUE FINANCIAL CORP,
0001023860,6022,STATE COMMERCIAL BANKS,STEWARDSHIP FINANCIAL CORP,SSFN
0001025536,6022,STATE COMMERCIAL BANKS,TAYLOR CAPITAL GROUP INC,TAYC
0001025835,6022,STATE COMMERCIAL BANKS,ENTERPRISE FINANCIAL SERVICES CORP,EFSC
0001027183,6022,STATE COMMERCIAL BANKS,FIRST SOUTH BANCORP INC /VA/,FSBK
0001028734,6021,NATIONAL COMMERCIAL BANKS,COBIZ FINANCIAL INC,COBZ
0001028918,6022,STATE COMMERCIAL BANKS,PACIFIC PREMIER BANCORP INC,PPBI
0001028954,6022,STATE COMMERCIAL BANKS,SB ONE BANCORP,SBBX
0001030469,6022,STATE COMMERCIAL BANKS,OFG BANCORP,OFG
0001035092,6021,NATIONAL COMMERCIAL BANKS,SHORE BANCSHARES INC,SHBI
0001036070,6022,STATE COMMERCIAL BANKS,StellarOne CORP,STEL
0001038205,6022,STATE COMMERCIAL BANKS,BANK OF THE OZARKS INC,
0001041429,6021,NATIONAL COMMERCIAL BANKS,ANNAPOLIS BANCORP INC,ANNB
0001042729,6022,STATE COMMERCIAL BANKS,MERCANTILE BANK CORP,MBWM
0001046025,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",HERITAGE FINANCIAL CORP /WA/,HFWA
0001046050,6036,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",TIMBERLAND BANCORP INC,TSBK
0001046203,6022,STATE COMMERCIAL BANKS,GUARANTY FEDERAL BANCSHARES INC,GFED
0001047170,6022,STATE COMMERCIAL BANKS,EASTERN VIRGINIA BANKSHARES INC,EVBS
0001049782,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",BROOKLINE BANCORP INC,BRKL
0001050441,6022,STATE COMMERCIAL BANKS,EAGLE BANCORP INC,EGBN
0001050743,6029,"COMMERCIAL BANKS, NEC",PEAPACK GLADSTONE FINANCIAL CORP,PGC
0001051343,6022,STATE COMMERCIAL BANKS,COMMUNITY WEST BANCSHARES /,CWBC
0001051741,6021,NATIONAL COMMERCIAL BANKS,FIRST NIAGARA FINANCIAL GROUP INC,FNFG
